merge_sha	changed_files	index_relevant	pct_of_indexed
759a8d3a	47	47	3.317
11247e91	117	117	8.257
43abbed7	44	43	3.035
d9b65e52	4	4	0.282
a8c499c9	48	47	3.317
40ca89ac	95	95	6.704
60b6a963	21	17	1.200
43b7ab35	66	60	4.234
8362f038	13	13	0.917
8275e53a	44	44	3.105
1dae59f4	65	65	4.587
4be1838c	31	31	2.188
8ea2ec5e	22	22	1.553
6baee1f7	12	12	0.847
2af0dcf9	8	8	0.565
fc57e69f	5	5	0.353
9a4bb833	90	86	6.069
75a877cb	16	16	1.129
4c64bfac	9	9	0.635
65e35c16	7	7	0.494
48691aa5	11	11	0.776
9f5ea88c	6	6	0.423
9b7af0ec	9	8	0.565
004a9bc0	5	5	0.353
695625d4	17	17	1.200
